symbol,target_weight,timestamp_utc
RSP,0.98,2026-04-29T05:04:28.795076+00:00
RSP,0.98,2026-04-29T15:15:03.301131+00:00
RSP,0.98,2026-04-30T15:11:54.516251+00:00
RSP,0.98,2026-04-30T22:30:05.462621+00:00
RSP,0.98,2026-05-02T02:19:22.274139+00:00
RSP,0.98,2026-05-04T13:21:01.775904+00:00
RSP,0.98,2026-05-04T13:28:12.422147+00:00
RSP,0.98,2026-05-05T01:04:06.748680+00:00
RSP,0.98,2026-05-05T12:55:16.738583+00:00
RSP,0.98,2026-05-06T02:17:58.447477+00:00
RSP,0.98,2026-05-06T12:59:25.208875+00:00
BIL,0.98,2026-05-06T15:16:20.996449+00:00
RSP,0.98,2026-05-07T00:11:54.513266+00:00
RSP,0.98,2026-05-07T10:35:37.837323+00:00
BIL,0.98,2026-05-07T15:18:21.561752+00:00
BIL,0.98,2026-05-08T02:22:26.849630+00:00
BIL,0.98,2026-05-08T11:19:58.539066+00:00
BIL,0.98,2026-05-08T14:27:02.212107+00:00
BIL,0.98,2026-05-08T22:21:14.748765+00:00
BIL,0.98,2026-05-11T12:07:11.999282+00:00
BIL,0.98,2026-05-11T13:38:36.672866+00:00
BIL,0.98,2026-05-11T20:05:32.155901+00:00
BIL,0.98,2026-05-12T03:20:23.314313+00:00
BIL,0.98,2026-05-12T03:30:19.291875+00:00
BIL,0.98,2026-05-12T03:34:09.923240+00:00
BIL,0.98,2026-05-12T11:24:00.381413+00:00
BIL,0.98,2026-05-12T20:05:00.054154+00:00
