symbol,current_weight,target_weight,delta_weight,notional,side,submitted,order_id,status,timestamp_utc
RSP,0.0,0.98,0.98,980000.0,buy,True,8e5c237d-8dd8-4c6a-aa55-15b869bdef1b,OrderStatus.ACCEPTED,2026-04-29T05:04:28.795076+00:00
RSP,0.0,0.98,0.98,980000.0,buy,True,31be91ec-8b0e-49ee-8922-35ec66375258,OrderStatus.PENDING_NEW,2026-04-29T15:15:03.301131+00:00
RSP,0.9804887357756276,0.0,-0.9804887357756276,1005048.743191,sell,False,,"ERROR: APIError('{""available"":""4897.306481435"",""code"":40310000,""existing_qty"":""4897.306481435"",""held_for_orders"":""0"",""message"":""insufficient qty available for order (requested: 4897.659665708, available: 4897.306481435)"",""symbol"":""RSP""}')",2026-05-06T15:16:20.996449+00:00
BIL,0.0,0.98,0.98,1004547.7652,buy,True,60c130d6-6cb8-424f-87d6-e2350a9f765a,OrderStatus.PENDING_NEW,2026-05-06T15:16:20.996449+00:00
BIL,0.9909114119680011,0.0,-0.9909114119680011,1004547.77,sell,False,,"ERROR: APIError('{""available"":""10987.069561413"",""code"":40310000,""existing_qty"":""10987.069561413"",""held_for_orders"":""0"",""message"":""insufficient qty available for order (requested: 10987.670440251, available: 10987.069561413)"",""symbol"":""BIL""}')",2026-05-07T00:11:54.513266+00:00
BIL,0.9796491220959372,0.0,-0.9796491220959372,1004602.705348,sell,False,,"ERROR: APIError('{""available"":""10987.069561413"",""code"":40310000,""existing_qty"":""10987.069561413"",""held_for_orders"":""0"",""message"":""insufficient qty available for order (requested: 10987.069612292, available: 10987.069561413)"",""symbol"":""BIL""}')",2026-05-07T10:35:37.837323+00:00
RSP,0.9803192741332368,0.0,-0.9803192741332368,1001695.557443,sell,False,,"ERROR: APIError('{""available"":""4897.306481435"",""code"":40310000,""existing_qty"":""4897.306481435"",""held_for_orders"":""0"",""message"":""insufficient qty available for order (requested: 4897.308888237, available: 4897.306481435)"",""symbol"":""RSP""}')",2026-05-07T15:18:21.561752+00:00
RSP,0.9798467161826939,0.0,-0.9798467161826939,993761.431213,sell,True,23d74549-c2da-4474-bad9-c83f285d3b9c,OrderStatus.ACCEPTED,2026-05-08T02:22:26.849630+00:00
BIL,0.9909153530359187,0.98,-0.010915353035918729,11070.360982000038,sell,True,143ff693-59de-43ab-b3bd-0ba8d9532951,OrderStatus.ACCEPTED,2026-05-08T02:22:26.849630+00:00
RSP,0.980093230555515,0.0,-0.980093230555515,1000911.498676,sell,False,,"ERROR: APIError('{""available"":""26.165704023"",""code"":40310000,""existing_qty"":""4897.306481435"",""held_for_orders"":""4871.140777412"",""message"":""insufficient qty available for order (requested: 4898.265146324, available: 26.165704023)"",""related_orders"":[""23d74549-c2da-4474-bad9-c83f285d3b9c""],""symbol"":""RSP""}')",2026-05-08T11:19:58.539066+00:00
RSP,0.006497719743399667,0.0,-0.006497719743399667,6632.730014,sell,False,,"ERROR: APIError('{""available"":""32.495860143"",""code"":40310000,""existing_qty"":""32.495860143"",""held_for_orders"":""0"",""message"":""insufficient qty available for order (requested: 32.500637005, available: 32.495860143)"",""symbol"":""RSP""}')",2026-05-08T14:27:02.212107+00:00
BIL,0.9736311468986256,0.98,0.006368853101374361,6501.185768000028,buy,True,3265b445-ab53-4edc-b91c-b046bf8631e1,OrderStatus.PENDING_NEW,2026-05-08T14:27:02.212107+00:00
RSP,0.006493571812761743,0.0,-0.006493571812761743,6628.830511,sell,False,,"ERROR: APIError('{""available"":""32.495860143"",""code"":40310000,""existing_qty"":""32.495860143"",""held_for_orders"":""0"",""message"":""insufficient qty available for order (requested: 32.507012553, available: 32.495860143)"",""symbol"":""RSP""}')",2026-05-08T22:21:14.748765+00:00
RSP,0.006495279737878022,0.0,-0.006495279737878022,6631.280698,sell,True,9a7a3e34-f1f0-4513-9a39-5030df7ac12c,OrderStatus.PENDING_NEW,2026-05-11T12:07:11.999282+00:00
